Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.00799033,27448
2,0.066,0.0126815,24305
3,0.099,0.0163402,21823
4,0.132,0.0192325,19716
5,0.165,0.0217328,17858
6,0.198,0.0238983,16191
7,0.231,0.0264702,14696
8,0.264,0.0287411,13326
9,0.297,0.030569,12057
10,0.33,0.0320024,10887
11,0.363,0.0335399,9807
12,0.396,0.0351078,8798
13,0.429,0.0363669,7846
14,0.462,0.0371253,6963
15,0.495,0.0382715,6138
16,0.528,0.0389223,5365
17,0.561,0.0397388,4635
18,0.594,0.0403635,3944
19,0.627,0.0409707,3287
20,0.66,0.0414403,2663
21,0.693,0.0425548,2077
22,0.726,0.0428725,1518
23,0.759,0.0438139,987
24,0.792,0.0463086,482
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
