Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.00979839,41183
2,0.066,0.0168615,36580
3,0.099,0.0229915,32864
4,0.132,0.0283759,29677
5,0.165,0.0332885,26876
6,0.198,0.0376454,24362
7,0.231,0.0419427,22063
8,0.264,0.0457886,19943
9,0.297,0.0493523,18012
10,0.33,0.0528327,16238
11,0.363,0.0559364,14582
12,0.396,0.0589802,13045
13,0.429,0.0614651,11618
14,0.462,0.0638849,10289
15,0.495,0.0661433,9053
16,0.528,0.0682678,7898
17,0.561,0.070124,6815
18,0.594,0.0713002,5798
19,0.627,0.0727989,4842
20,0.66,0.0741717,3923
21,0.693,0.0733963,3044
22,0.726,0.0734584,2213
23,0.759,0.0752177,1430
24,0.792,0.0781395,699
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
