Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0190578,22314
2,0.066,0.0330097,18833
3,0.099,0.0449297,16159
4,0.132,0.0558076,13998
5,0.165,0.0658119,12168
6,0.198,0.075274,10610
7,0.231,0.0835324,9268
8,0.264,0.0915642,8097
9,0.297,0.100498,7078
10,0.33,0.108384,6178
11,0.363,0.11566,5374
12,0.396,0.121508,4662
13,0.429,0.129525,4025
14,0.462,0.135458,3461
15,0.495,0.14079,2958
16,0.528,0.145843,2503
17,0.561,0.150195,2084
18,0.594,0.156317,1716
19,0.627,0.162602,1391
20,0.66,0.168061,1099
21,0.693,0.172283,828
22,0.726,0.174381,585
23,0.759,0.183483,368
24,0.792,0.193459,177
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
