Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.00904471,26998
2,0.066,0.0139155,23849
3,0.099,0.0174784,21359
4,0.132,0.0200935,19221
5,0.165,0.0223059,17376
6,0.198,0.0240259,15747
7,0.231,0.0251594,14284
8,0.264,0.0257889,12952
9,0.297,0.0261185,11737
10,0.33,0.0263567,10629
11,0.363,0.0265253,9608
12,0.396,0.0267338,8666
13,0.429,0.027154,7787
14,0.462,0.0277304,6954
15,0.495,0.0281031,6167
16,0.528,0.0285961,5423
17,0.561,0.0288671,4706
18,0.594,0.029019,4025
19,0.627,0.0291665,3378
20,0.66,0.029768,2763
21,0.693,0.0301856,2171
22,0.726,0.0306337,1597
23,0.759,0.0306613,1047
24,0.792,0.0302106,512
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
