Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.00757128,38208
2,0.066,0.0118904,34064
3,0.099,0.0149593,30784
4,0.132,0.0175793,28011
5,0.165,0.019698,25573
6,0.198,0.021479,23389
7,0.231,0.0233257,21404
8,0.264,0.0249159,19561
9,0.297,0.0263933,17840
10,0.33,0.027751,16224
11,0.363,0.0290917,14714
12,0.396,0.0300312,13280
13,0.429,0.0309138,11910
14,0.462,0.0317955,10620
15,0.495,0.0325623,9393
16,0.528,0.0336291,8226
17,0.561,0.0349163,7127
18,0.594,0.0358739,6090
19,0.627,0.0369535,5114
20,0.66,0.0381659,4169
21,0.693,0.0392499,3263
22,0.726,0.039355,2398
23,0.759,0.0397233,1569
24,0.792,0.0398124,768
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
