Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0111515,38853
2,0.066,0.015385,33401
3,0.099,0.018261,29241
4,0.132,0.0201195,25860
5,0.165,0.0216703,23042
6,0.198,0.0227875,20670
7,0.231,0.0236594,18638
8,0.264,0.0246258,16847
9,0.297,0.0254862,15189
10,0.33,0.0263394,13660
11,0.363,0.0271471,12237
12,0.396,0.0279157,10906
13,0.429,0.0282772,9655
14,0.462,0.028003,8484
15,0.495,0.0273873,7392
16,0.528,0.0270129,6373
17,0.561,0.0266783,5410
18,0.594,0.0258879,4531
19,0.627,0.0254254,3738
20,0.66,0.0248729,3003
21,0.693,0.0247251,2307
22,0.726,0.0246866,1659
23,0.759,0.0237199,1061
24,0.792,0.0240888,516
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
