Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.00957558,49478
2,0.066,0.0149627,43922
3,0.099,0.0191192,39564
4,0.132,0.0225879,35896
5,0.165,0.0259835,32674
6,0.198,0.0289085,29786
7,0.231,0.031595,27142
8,0.264,0.0342913,24721
9,0.297,0.0367303,22474
10,0.33,0.0394151,20410
11,0.363,0.0414966,18479
12,0.396,0.0434078,16650
13,0.429,0.0451755,14916
14,0.462,0.0469433,13296
15,0.495,0.0488017,11762
16,0.528,0.0497817,10312
17,0.561,0.0507007,8928
18,0.594,0.0514868,7602
19,0.627,0.0517406,6343
20,0.66,0.0527157,5155
21,0.693,0.0524706,4018
22,0.726,0.0532965,2940
23,0.759,0.0535116,1916
24,0.792,0.0528397,935
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
