Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.025308,41329
2,0.066,0.0445433,34801
3,0.099,0.0610075,29729
4,0.132,0.0765474,25562
5,0.165,0.0914468,22065
6,0.198,0.10544,19077
7,0.231,0.118646,16502
8,0.264,0.130602,14268
9,0.297,0.142993,12323
10,0.33,0.155325,10664
11,0.363,0.16711,9212
12,0.396,0.177687,7926
13,0.429,0.186588,6796
14,0.462,0.196737,5802
15,0.495,0.206808,4928
16,0.528,0.21568,4144
17,0.561,0.223063,3451
18,0.594,0.229752,2844
19,0.627,0.237534,2299
20,0.66,0.247338,1812
21,0.693,0.257612,1374
22,0.726,0.263129,973
23,0.759,0.274522,609
24,0.792,0.279857,284
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
