Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0227593,47998
2,0.066,0.0422072,40852
3,0.099,0.0599063,35084
4,0.132,0.0765001,30305
5,0.165,0.0920807,26231
6,0.198,0.106846,22707
7,0.231,0.120948,19689
8,0.264,0.134238,17066
9,0.297,0.146543,14766
10,0.33,0.157992,12741
11,0.363,0.169179,10957
12,0.396,0.180404,9395
13,0.429,0.192557,8014
14,0.462,0.204353,6799
15,0.495,0.216071,5708
16,0.528,0.227927,4758
17,0.561,0.238989,3917
18,0.594,0.247593,3180
19,0.627,0.255079,2532
20,0.66,0.261674,1966
21,0.693,0.269793,1470
22,0.726,0.277066,1032
23,0.759,0.283585,651
24,0.792,0.271547,308
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
