Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0265997,39052
2,0.066,0.0504639,32780
3,0.099,0.0722754,27859
4,0.132,0.0925939,23829
5,0.165,0.111811,20501
6,0.198,0.130224,17641
7,0.231,0.149114,15191
8,0.264,0.167604,13052
9,0.297,0.185976,11197
10,0.33,0.202969,9593
11,0.363,0.221174,8201
12,0.396,0.239045,6996
13,0.429,0.257262,5952
14,0.462,0.274731,5040
15,0.495,0.295523,4244
16,0.528,0.317218,3550
17,0.561,0.338928,2931
18,0.594,0.358513,2384
19,0.627,0.374377,1912
20,0.66,0.39735,1493
21,0.693,0.420567,1115
22,0.726,0.442031,781
23,0.759,0.458612,491
24,0.792,0.476116,232
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
