Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.00986036,46458
2,0.066,0.0157933,41079
3,0.099,0.0200163,36745
4,0.132,0.0235453,33091
5,0.165,0.026607,29926
6,0.198,0.0293374,27082
7,0.231,0.031941,24517
8,0.264,0.0343188,22182
9,0.297,0.0358462,20041
10,0.33,0.0374044,18067
11,0.363,0.0389147,16238
12,0.396,0.0403773,14553
13,0.429,0.0419037,12997
14,0.462,0.0431169,11539
15,0.495,0.044532,10171
16,0.528,0.0459262,8882
17,0.561,0.0468981,7666
18,0.594,0.0477864,6528
19,0.627,0.0488188,5444
20,0.66,0.0500407,4407
21,0.693,0.0513487,3430
22,0.726,0.0532092,2503
23,0.759,0.0542256,1627
24,0.792,0.0573915,795
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
