Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0206955,60082
2,0.066,0.0375694,51455
3,0.099,0.0524203,44529
4,0.132,0.066262,38715
5,0.165,0.0790019,33756
6,0.198,0.0912763,29454
7,0.231,0.103245,25656
8,0.264,0.115296,22329
9,0.297,0.12682,19381
10,0.33,0.137239,16802
11,0.363,0.146615,14537
12,0.396,0.15474,12536
13,0.429,0.163299,10776
14,0.462,0.171103,9186
15,0.495,0.17876,7768
16,0.528,0.187447,6502
17,0.561,0.196316,5370
18,0.594,0.204246,4377
19,0.627,0.211357,3509
20,0.66,0.216425,2730
21,0.693,0.224858,2045
22,0.726,0.233461,1443
23,0.759,0.244085,906
24,0.792,0.24954,424
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
