Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.018098,39595
2,0.066,0.0342163,34168
3,0.099,0.0486984,29827
4,0.132,0.0622279,26173
5,0.165,0.0749851,23040
6,0.198,0.0879338,20299
7,0.231,0.100171,17898
8,0.264,0.112076,15776
9,0.297,0.124371,13895
10,0.33,0.136131,12214
11,0.363,0.147616,10705
12,0.396,0.1578,9341
13,0.429,0.167467,8108
14,0.462,0.177594,6993
15,0.495,0.187926,5975
16,0.528,0.197215,5045
17,0.561,0.206412,4208
18,0.594,0.214643,3435
19,0.627,0.225272,2748
20,0.66,0.23711,2137
21,0.693,0.248082,1604
22,0.726,0.257437,1126
23,0.759,0.260736,701
24,0.792,0.260127,328
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
