Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.00884413,44403
2,0.066,0.0136798,39313
3,0.099,0.0173181,35294
4,0.132,0.0200837,31928
5,0.165,0.0226226,28980
6,0.198,0.0248518,26346
7,0.231,0.0269059,23966
8,0.264,0.0286345,21793
9,0.297,0.0300076,19793
10,0.33,0.0310179,17926
11,0.363,0.0317143,16182
12,0.396,0.0323422,14539
13,0.429,0.0330738,12972
14,0.462,0.0335954,11512
15,0.495,0.0342786,10151
16,0.528,0.0354636,8869
17,0.561,0.0364691,7663
18,0.594,0.0370338,6524
19,0.627,0.0370184,5440
20,0.66,0.0370699,4413
21,0.693,0.0368529,3448
22,0.726,0.0374332,2532
23,0.759,0.0375922,1650
24,0.792,0.0392507,807
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
