Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0208453,40687
2,0.066,0.0395583,34699
3,0.099,0.0567251,29931
4,0.132,0.0727088,25983
5,0.165,0.0879601,22625
6,0.198,0.10241,19727
7,0.231,0.116583,17218
8,0.264,0.130244,15035
9,0.297,0.142567,13096
10,0.33,0.155157,11382
11,0.363,0.167612,9850
12,0.396,0.178254,8495
13,0.429,0.188409,7291
14,0.462,0.196936,6209
15,0.495,0.20566,5228
16,0.528,0.216293,4359
17,0.561,0.226901,3605
18,0.594,0.237059,2938
19,0.627,0.246795,2354
20,0.66,0.25809,1843
21,0.693,0.270105,1389
22,0.726,0.278464,978
23,0.759,0.287759,617
24,0.792,0.297808,289
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
