Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0210418,38449
2,0.066,0.0392144,32921
3,0.099,0.0554154,28553
4,0.132,0.070951,24874
5,0.165,0.0861065,21762
6,0.198,0.100428,19056
7,0.231,0.114924,16693
8,0.264,0.128911,14626
9,0.297,0.141769,12786
10,0.33,0.154485,11191
11,0.363,0.166709,9763
12,0.396,0.177798,8482
13,0.429,0.187438,7315
14,0.462,0.197515,6259
15,0.495,0.206606,5310
16,0.528,0.216026,4481
17,0.561,0.226478,3739
18,0.594,0.23689,3070
19,0.627,0.245984,2473
20,0.66,0.256168,1945
21,0.693,0.270678,1471
22,0.726,0.285262,1048
23,0.759,0.304426,665
24,0.792,0.316578,313
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
