Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.00874884,42568
2,0.066,0.0137758,37760
3,0.099,0.0173986,33900
4,0.132,0.0205215,30627
5,0.165,0.023128,27769
6,0.198,0.0253507,25203
7,0.231,0.0272552,22901
8,0.264,0.0287397,20813
9,0.297,0.0299709,18881
10,0.33,0.0310938,17073
11,0.363,0.0322107,15396
12,0.396,0.0335543,13836
13,0.429,0.0345388,12376
14,0.462,0.0354874,11017
15,0.495,0.036297,9730
16,0.528,0.0367044,8516
17,0.561,0.0371187,7363
18,0.594,0.0377118,6271
19,0.627,0.0388092,5243
20,0.66,0.040151,4264
21,0.693,0.0416453,3330
22,0.726,0.0421936,2437
23,0.759,0.0415821,1584
24,0.792,0.0440091,778
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
