Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.00867101,33649
2,0.066,0.0135275,29783
3,0.099,0.0174158,26736
4,0.132,0.0207098,24178
5,0.165,0.0236911,21934
6,0.198,0.0259532,19936
7,0.231,0.0281466,18128
8,0.264,0.0301321,16461
9,0.297,0.0325641,14926
10,0.33,0.0345628,13499
11,0.363,0.0364278,12161
12,0.396,0.0380409,10916
13,0.429,0.0392163,9751
14,0.462,0.0402947,8660
15,0.495,0.0412159,7637
16,0.528,0.0416209,6670
17,0.561,0.0420149,5760
18,0.594,0.0423132,4890
19,0.627,0.0423747,4079
20,0.66,0.0425045,3312
21,0.693,0.0431273,2585
22,0.726,0.0441385,1881
23,0.759,0.0448266,1221
24,0.792,0.0456575,596
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
