Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0238406,46426
2,0.066,0.0437054,39368
3,0.099,0.0605165,33779
4,0.132,0.0763082,29212
5,0.165,0.0906782,25329
6,0.198,0.104542,22017
7,0.231,0.118012,19174
8,0.264,0.131008,16662
9,0.297,0.143679,14478
10,0.33,0.156104,12553
11,0.363,0.168686,10866
12,0.396,0.181258,9383
13,0.429,0.193618,8058
14,0.462,0.204692,6884
15,0.495,0.21524,5842
16,0.528,0.224631,4898
17,0.561,0.234515,4062
18,0.594,0.245312,3319
19,0.627,0.256395,2652
20,0.66,0.268475,2069
21,0.693,0.278616,1551
22,0.726,0.284188,1094
23,0.759,0.293732,683
24,0.792,0.293918,318
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
