Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0249971,50403
2,0.066,0.0456599,42467
3,0.099,0.0637764,36265
4,0.132,0.0807808,31223
5,0.165,0.0966644,27011
6,0.198,0.111419,23375
7,0.231,0.125138,20252
8,0.264,0.13845,17542
9,0.297,0.151674,15151
10,0.33,0.165603,13064
11,0.363,0.178662,11226
12,0.396,0.190641,9606
13,0.429,0.201941,8184
14,0.462,0.2122,6914
15,0.495,0.221829,5787
16,0.528,0.231637,4807
17,0.561,0.240447,3945
18,0.594,0.246992,3197
19,0.627,0.252772,2531
20,0.66,0.259042,1947
21,0.693,0.265683,1452
22,0.726,0.272689,1013
23,0.759,0.280633,637
24,0.792,0.286635,301
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
