Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0273293,17372
2,0.066,0.0483506,14008
3,0.099,0.0662628,11503
4,0.132,0.0806033,9549
5,0.165,0.0945327,7979
6,0.198,0.107555,6699
7,0.231,0.118839,5632
8,0.264,0.129155,4746
9,0.297,0.137451,3998
10,0.33,0.143825,3360
11,0.363,0.150013,2807
12,0.396,0.155189,2352
13,0.429,0.159761,1958
14,0.462,0.164677,1619
15,0.495,0.170989,1330
16,0.528,0.171157,1091
17,0.561,0.167782,888
18,0.594,0.16807,714
19,0.627,0.165659,560
20,0.66,0.161423,425
21,0.693,0.167842,312
22,0.726,0.16324,214
23,0.759,0.162627,131
24,0.792,0.172172,58
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
