Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.00979927,14017
2,0.066,0.0165325,12443
3,0.099,0.0220208,11163
4,0.132,0.0262402,10058
5,0.165,0.0300742,9087
6,0.198,0.0336289,8233
7,0.231,0.0368611,7463
8,0.264,0.03929,6754
9,0.297,0.0417372,6102
10,0.33,0.0438976,5510
11,0.363,0.0450365,4961
12,0.396,0.0464182,4458
13,0.429,0.0479369,3987
14,0.462,0.0495,3547
15,0.495,0.0502637,3129
16,0.528,0.0508245,2743
17,0.561,0.0516819,2378
18,0.594,0.0518963,2030
19,0.627,0.0519046,1700
20,0.66,0.0518765,1390
21,0.693,0.0512065,1092
22,0.726,0.0514175,807
23,0.759,0.0521734,532
24,0.792,0.0527878,263
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
