Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0151482,21496
2,0.066,0.0264889,18717
3,0.099,0.0365241,16509
4,0.132,0.0448933,14645
5,0.165,0.0518828,13081
6,0.198,0.0582085,11714
7,0.231,0.0639967,10521
8,0.264,0.0694498,9435
9,0.297,0.0743181,8461
10,0.33,0.0789281,7587
11,0.363,0.0838018,6780
12,0.396,0.0889459,6030
13,0.429,0.0938038,5339
14,0.462,0.0977549,4710
15,0.495,0.102943,4121
16,0.528,0.107703,3574
17,0.561,0.112152,3067
18,0.594,0.115505,2594
19,0.627,0.119906,2150
20,0.66,0.125374,1742
21,0.693,0.127715,1359
22,0.726,0.129722,994
23,0.759,0.130126,646
24,0.792,0.129056,312
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
