Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0129328,35123
2,0.066,0.0206839,30569
3,0.099,0.0269451,26996
4,0.132,0.0316315,24035
5,0.165,0.0355686,21493
6,0.198,0.0387507,19290
7,0.231,0.0414555,17327
8,0.264,0.0438654,15582
9,0.297,0.0459454,14002
10,0.33,0.0474217,12562
11,0.363,0.0487731,11263
12,0.396,0.0499981,10059
13,0.429,0.0515912,8945
14,0.462,0.0532451,7910
15,0.495,0.0545806,6935
16,0.528,0.0557467,6032
17,0.561,0.057209,5185
18,0.594,0.058706,4395
19,0.627,0.0596169,3655
20,0.66,0.0593026,2955
21,0.693,0.0595895,2295
22,0.726,0.0597535,1676
23,0.759,0.0585947,1088
24,0.792,0.0586688,529
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
