Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0127062,28638
2,0.066,0.0203221,24884
3,0.099,0.0265555,21971
4,0.132,0.0315453,19562
5,0.165,0.0357269,17491
6,0.198,0.0391771,15667
7,0.231,0.0422839,14060
8,0.264,0.0449239,12636
9,0.297,0.0467702,11341
10,0.33,0.048169,10144
11,0.363,0.0490939,9054
12,0.396,0.0491806,8036
13,0.429,0.0491998,7106
14,0.462,0.0485976,6236
15,0.495,0.0487174,5452
16,0.528,0.0493766,4723
17,0.561,0.0502732,4043
18,0.594,0.052678,3414
19,0.627,0.054791,2828
20,0.66,0.0555333,2285
21,0.693,0.0555031,1773
22,0.726,0.0536548,1284
23,0.759,0.0505525,832
24,0.792,0.0507011,407
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
