Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0210228,21279
2,0.066,0.0416774,18306
3,0.099,0.0610234,15940
4,0.132,0.0785517,13948
5,0.165,0.095351,12233
6,0.198,0.112468,10734
7,0.231,0.128914,9420
8,0.264,0.143652,8269
9,0.297,0.15717,7239
10,0.33,0.169997,6323
11,0.363,0.182875,5506
12,0.396,0.194565,4770
13,0.429,0.205262,4114
14,0.462,0.21605,3532
15,0.495,0.225709,2997
16,0.528,0.237289,2511
17,0.561,0.24494,2070
18,0.594,0.255684,1691
19,0.627,0.267334,1355
20,0.66,0.278556,1056
21,0.693,0.28857,796
22,0.726,0.294417,562
23,0.759,0.293315,357
24,0.792,0.293433,171
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
