Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0135218,50962
2,0.066,0.0215893,44107
3,0.099,0.027317,38753
4,0.132,0.0320272,34364
5,0.165,0.036576,30668
6,0.198,0.0403405,27457
7,0.231,0.043752,24616
8,0.264,0.0465187,22073
9,0.297,0.0491338,19787
10,0.33,0.05139,17721
11,0.363,0.0536766,15854
12,0.396,0.0552036,14138
13,0.429,0.056719,12552
14,0.462,0.058015,11088
15,0.495,0.0588131,9718
16,0.528,0.0592465,8440
17,0.561,0.0596338,7251
18,0.594,0.0596246,6137
19,0.627,0.0606926,5099
20,0.66,0.0620703,4128
21,0.693,0.063211,3212
22,0.726,0.0647773,2344
23,0.759,0.064201,1520
24,0.792,0.0645713,744
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
