Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0322856,40778
2,0.066,0.0588336,33424
3,0.099,0.0817632,27805
4,0.132,0.102518,23268
5,0.165,0.121343,19521
6,0.198,0.139779,16396
7,0.231,0.157174,13785
8,0.264,0.173385,11582
9,0.297,0.187319,9704
10,0.33,0.199046,8110
11,0.363,0.20946,6752
12,0.396,0.217879,5636
13,0.429,0.227005,4690
14,0.462,0.234526,3881
15,0.495,0.242897,3204
16,0.528,0.249596,2623
17,0.561,0.258001,2120
18,0.594,0.263946,1688
19,0.627,0.272627,1322
20,0.66,0.277422,1000
21,0.693,0.290576,734
22,0.726,0.294412,511
23,0.759,0.284041,313
24,0.792,0.300507,145
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
