Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0292285,21943
2,0.066,0.0553417,18127
3,0.099,0.0795174,15187
4,0.132,0.102826,12817
5,0.165,0.125164,10868
6,0.198,0.146116,9226
7,0.231,0.166845,7842
8,0.264,0.187341,6662
9,0.297,0.207974,5645
10,0.33,0.22928,4784
11,0.363,0.249416,4043
12,0.396,0.267153,3412
13,0.429,0.286256,2869
14,0.462,0.302348,2404
15,0.495,0.317588,1996
16,0.528,0.325931,1640
17,0.561,0.330699,1330
18,0.594,0.33588,1064
19,0.627,0.346158,837
20,0.66,0.355619,636
21,0.693,0.367344,466
22,0.726,0.38134,313
23,0.759,0.390311,190
24,0.792,0.39641,86
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
