Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.00884331,15610
2,0.066,0.0153913,13802
3,0.099,0.0208397,12364
4,0.132,0.0256017,11157
5,0.165,0.0294451,10128
6,0.198,0.0328065,9208
7,0.231,0.0357554,8367
8,0.264,0.0381219,7588
9,0.297,0.040639,6877
10,0.33,0.0429811,6227
11,0.363,0.0453967,5624
12,0.396,0.0475717,5059
13,0.429,0.0497828,4523
14,0.462,0.0523398,4011
15,0.495,0.0549671,3537
16,0.528,0.0570978,3094
17,0.561,0.0589395,2673
18,0.594,0.0621901,2275
19,0.627,0.0652099,1895
20,0.66,0.0670831,1533
21,0.693,0.0700724,1194
22,0.726,0.0741148,872
23,0.759,0.0767739,563
24,0.792,0.0783077,273
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
