Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0262284,33361
2,0.066,0.0490453,27791
3,0.099,0.069523,23373
4,0.132,0.0885235,19725
5,0.165,0.106452,16738
6,0.198,0.12327,14248
7,0.231,0.139872,12128
8,0.264,0.15656,10349
9,0.297,0.173463,8821
10,0.33,0.190369,7511
11,0.363,0.207112,6376
12,0.396,0.222319,5387
13,0.429,0.237298,4526
14,0.462,0.250354,3785
15,0.495,0.260744,3154
16,0.528,0.26993,2601
17,0.561,0.280945,2121
18,0.594,0.294013,1694
19,0.627,0.306845,1326
20,0.66,0.318946,1009
21,0.693,0.328982,740
22,0.726,0.348917,516
23,0.759,0.363081,320
24,0.792,0.373404,148
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
