Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0237437,16486
2,0.066,0.046154,13704
3,0.099,0.0658847,11565
4,0.132,0.0841105,9837
5,0.165,0.102174,8405
6,0.198,0.120274,7205
7,0.231,0.138415,6199
8,0.264,0.154128,5337
9,0.297,0.169078,4591
10,0.33,0.183661,3938
11,0.363,0.199131,3369
12,0.396,0.216212,2867
13,0.429,0.232274,2421
14,0.462,0.246351,2047
15,0.495,0.258483,1725
16,0.528,0.269039,1437
17,0.561,0.277474,1184
18,0.594,0.284147,965
19,0.627,0.296682,771
20,0.66,0.310651,599
21,0.693,0.321523,455
22,0.726,0.33348,323
23,0.759,0.349809,206
24,0.792,0.365029,95
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
