Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0244292,32217
2,0.066,0.0448083,27195
3,0.099,0.0631668,23331
4,0.132,0.0800732,20146
5,0.165,0.096243,17482
6,0.198,0.11029,15211
7,0.231,0.12315,13243
8,0.264,0.13657,11541
9,0.297,0.148546,10043
10,0.33,0.160205,8715
11,0.363,0.1712,7526
12,0.396,0.183157,6487
13,0.429,0.193675,5557
14,0.462,0.202744,4728
15,0.495,0.21046,3989
16,0.528,0.217874,3338
17,0.561,0.226276,2752
18,0.594,0.235082,2233
19,0.627,0.243951,1777
20,0.66,0.251795,1383
21,0.693,0.256594,1036
22,0.726,0.266244,736
23,0.759,0.279761,465
24,0.792,0.284965,222
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
