Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0111762,36482
2,0.066,0.0184742,32286
3,0.099,0.0243098,28951
4,0.132,0.0293175,26127
5,0.165,0.0336506,23641
6,0.198,0.0375021,21424
7,0.231,0.0409766,19409
8,0.264,0.0436144,17585
9,0.297,0.0463185,15913
10,0.33,0.0488757,14375
11,0.363,0.0510331,12943
12,0.396,0.0527406,11611
13,0.429,0.0542656,10357
14,0.462,0.0558928,9185
15,0.495,0.0576535,8095
16,0.528,0.0582894,7064
17,0.561,0.0591288,6090
18,0.594,0.0604616,5183
19,0.627,0.0617233,4323
20,0.66,0.0634582,3513
21,0.693,0.064757,2748
22,0.726,0.0662371,2013
23,0.759,0.0680741,1308
24,0.792,0.0622783,632
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
