Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0110389,28323
2,0.066,0.0181993,24988
3,0.099,0.0241182,22328
4,0.132,0.0290942,20075
5,0.165,0.0332395,18109
6,0.198,0.0370348,16370
7,0.231,0.0406065,14831
8,0.264,0.0433146,13436
9,0.297,0.0457816,12151
10,0.33,0.0482213,10973
11,0.363,0.0509236,9875
12,0.396,0.0530799,8852
13,0.429,0.0552462,7890
14,0.462,0.0579593,6994
15,0.495,0.0601156,6152
16,0.528,0.0620968,5364
17,0.561,0.0646951,4624
18,0.594,0.0676489,3929
19,0.627,0.0710549,3279
20,0.66,0.0738067,2660
21,0.693,0.0764202,2074
22,0.726,0.0805975,1517
23,0.759,0.0830723,988
24,0.792,0.0821162,484
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
