Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0126106,28273
2,0.066,0.0206533,24661
3,0.099,0.026833,21831
4,0.132,0.0318772,19470
5,0.165,0.0362569,17469
6,0.198,0.039806,15717
7,0.231,0.042965,14163
8,0.264,0.0460145,12777
9,0.297,0.0486724,11513
10,0.33,0.0512683,10351
11,0.363,0.0535006,9282
12,0.396,0.0550169,8303
13,0.429,0.0566955,7385
14,0.462,0.0577795,6528
15,0.495,0.0583023,5733
16,0.528,0.0591169,4994
17,0.561,0.0594334,4303
18,0.594,0.0593935,3651
19,0.627,0.0594299,3044
20,0.66,0.0606579,2473
21,0.693,0.0620826,1931
22,0.726,0.0622515,1419
23,0.759,0.0614892,922
24,0.792,0.0607477,451
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
