Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0120772,40728
2,0.066,0.0187896,35645
3,0.099,0.0236716,31675
4,0.132,0.0276418,28348
5,0.165,0.0306293,25486
6,0.198,0.0332374,22994
7,0.231,0.0356685,20773
8,0.264,0.0379871,18791
9,0.297,0.0398041,16996
10,0.33,0.0412168,15352
11,0.363,0.0426705,13844
12,0.396,0.044276,12438
13,0.429,0.045248,11122
14,0.462,0.0459374,9891
15,0.495,0.0471367,8740
16,0.528,0.0477049,7650
17,0.561,0.0478769,6626
18,0.594,0.0477928,5660
19,0.627,0.0471069,4741
20,0.66,0.0474056,3859
21,0.693,0.0474363,3016
22,0.726,0.0474225,2204
23,0.759,0.0467318,1438
24,0.792,0.0463589,706
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
