Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0191339,30473
2,0.066,0.0365507,26177
3,0.099,0.0524601,22742
4,0.132,0.0672628,19886
5,0.165,0.0817461,17466
6,0.198,0.0953858,15366
7,0.231,0.108496,13504
8,0.264,0.12093,11866
9,0.297,0.133252,10411
10,0.33,0.145194,9101
11,0.363,0.156807,7929
12,0.396,0.169188,6883
13,0.429,0.182647,5943
14,0.462,0.197706,5088
15,0.495,0.212136,4318
16,0.528,0.226373,3641
17,0.561,0.24006,3037
18,0.594,0.253377,2509
19,0.627,0.266382,2025
20,0.66,0.280158,1591
21,0.693,0.29116,1208
22,0.726,0.302862,860
23,0.759,0.310757,546
24,0.792,0.315769,262
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
