Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0150499,37804
2,0.066,0.0244598,32834
3,0.099,0.0317103,29029
4,0.132,0.0379118,25863
5,0.165,0.0431207,23158
6,0.198,0.047565,20786
7,0.231,0.050735,18656
8,0.264,0.0537742,16759
9,0.297,0.0565212,15056
10,0.33,0.059246,13514
11,0.363,0.0618218,12127
12,0.396,0.0638663,10844
13,0.429,0.0652086,9651
14,0.462,0.0655579,8540
15,0.495,0.0658518,7496
16,0.528,0.0665402,6526
17,0.561,0.0676453,5619
18,0.594,0.0675963,4761
19,0.627,0.0692256,3959
20,0.66,0.0696042,3199
21,0.693,0.0699181,2487
22,0.726,0.0689042,1813
23,0.759,0.06845,1184
24,0.792,0.0654737,583
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
