Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.029246,39815
2,0.066,0.0531693,32874
3,0.099,0.073608,27474
4,0.132,0.0921766,23080
5,0.165,0.109493,19467
6,0.198,0.12603,16443
7,0.231,0.143335,13893
8,0.264,0.159653,11753
9,0.297,0.176396,9931
10,0.33,0.19249,8366
11,0.363,0.207224,7012
12,0.396,0.221188,5846
13,0.429,0.235573,4844
14,0.462,0.251302,3969
15,0.495,0.267014,3230
16,0.528,0.282256,2612
17,0.561,0.292343,2097
18,0.594,0.301979,1656
19,0.627,0.30824,1289
20,0.66,0.306777,977
21,0.693,0.304676,709
22,0.726,0.293879,482
23,0.759,0.30494,294
24,0.792,0.313577,133
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
