Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0101204,23974
2,0.066,0.0173446,21157
3,0.099,0.0235084,18918
4,0.132,0.0289189,17050
5,0.165,0.033703,15422
6,0.198,0.0382683,13966
7,0.231,0.0422296,12639
8,0.264,0.0463959,11419
9,0.297,0.0499712,10308
10,0.33,0.0534026,9289
11,0.363,0.0571584,8347
12,0.396,0.0602883,7468
13,0.429,0.0634247,6651
14,0.462,0.0656811,5888
15,0.495,0.0675823,5182
16,0.528,0.0689806,4514
17,0.561,0.0705445,3886
18,0.594,0.0721439,3289
19,0.627,0.0736247,2725
20,0.66,0.0744997,2198
21,0.693,0.07638,1704
22,0.726,0.0778928,1242
23,0.759,0.0794388,808
24,0.792,0.0793432,388
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
