Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0247192,25320
2,0.066,0.0448727,21277
3,0.099,0.0632723,18108
4,0.132,0.0796787,15531
5,0.165,0.0956295,13361
6,0.198,0.110358,11504
7,0.231,0.124981,9914
8,0.264,0.139285,8537
9,0.297,0.153222,7363
10,0.33,0.167104,6322
11,0.363,0.181313,5410
12,0.396,0.19311,4617
13,0.429,0.204699,3922
14,0.462,0.216684,3319
15,0.495,0.229592,2785
16,0.528,0.242321,2300
17,0.561,0.25478,1885
18,0.594,0.267494,1525
19,0.627,0.277677,1216
20,0.66,0.287086,937
21,0.693,0.290442,691
22,0.726,0.3045,480
23,0.759,0.312872,300
24,0.792,0.314647,141
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
