Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0112457,49582
2,0.066,0.0182479,43615
3,0.099,0.02382,38923
4,0.132,0.0286641,35034
5,0.165,0.0325176,31650
6,0.198,0.0357294,28678
7,0.231,0.0384673,26002
8,0.264,0.0410101,23554
9,0.297,0.0433632,21338
10,0.33,0.0454769,19317
11,0.363,0.0476149,17426
12,0.396,0.0492192,15666
13,0.429,0.050231,14017
14,0.462,0.0506876,12469
15,0.495,0.0513138,11013
16,0.528,0.0520209,9639
17,0.561,0.0519172,8345
18,0.594,0.0519211,7123
19,0.627,0.0519183,5969
20,0.66,0.0513493,4866
21,0.693,0.0508069,3802
22,0.726,0.0503871,2784
23,0.759,0.0491209,1816
24,0.792,0.0479539,892
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
