Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0265448,37189
2,0.066,0.0497661,31287
3,0.099,0.0708145,26677
4,0.132,0.0906451,22837
5,0.165,0.109153,19622
6,0.198,0.126197,16876
7,0.231,0.143182,14486
8,0.264,0.159359,12390
9,0.297,0.174397,10565
10,0.33,0.189472,8963
11,0.363,0.204184,7579
12,0.396,0.217511,6389
13,0.429,0.229475,5358
14,0.462,0.240041,4482
15,0.495,0.25265,3727
16,0.528,0.264278,3068
17,0.561,0.272326,2488
18,0.594,0.281817,1974
19,0.627,0.29326,1541
20,0.66,0.302334,1182
21,0.693,0.311194,874
22,0.726,0.314588,599
23,0.759,0.325996,370
24,0.792,0.320765,170
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
