Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0112692,36220
2,0.066,0.019331,32699
3,0.099,0.0259964,29178
4,0.132,0.0313731,26208
5,0.165,0.0361813,23623
6,0.198,0.0403863,21316
7,0.231,0.0439553,19241
8,0.264,0.0475247,17363
9,0.297,0.0509555,15646
10,0.33,0.0540882,14081
11,0.363,0.0568349,12638
12,0.396,0.0598026,11303
13,0.429,0.0626455,10060
14,0.462,0.0657997,8906
15,0.495,0.0685015,7825
16,0.528,0.0717728,6816
17,0.561,0.0741686,5860
18,0.594,0.077982,4968
19,0.627,0.081346,4127
20,0.66,0.0846845,3339
21,0.693,0.0870792,2595
22,0.726,0.089441,1889
23,0.759,0.0932668,1223
24,0.792,0.0933075,598
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
