Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0111277,12230
2,0.066,0.0207719,11036
3,0.099,0.0286847,9842
4,0.132,0.0359234,8839
5,0.165,0.0425999,7972
6,0.198,0.0485212,7218
7,0.231,0.0537238,6546
8,0.264,0.0583934,5943
9,0.297,0.0633258,5394
10,0.33,0.0673982,4889
11,0.363,0.0704237,4414
12,0.396,0.0743227,3967
13,0.429,0.0775912,3547
14,0.462,0.0796766,3154
15,0.495,0.0797564,2778
16,0.528,0.0804503,2428
17,0.561,0.0835723,2100
18,0.594,0.087006,1791
19,0.627,0.0897105,1490
20,0.66,0.0897578,1208
21,0.693,0.0879415,936
22,0.726,0.0892736,684
23,0.759,0.0888672,446
24,0.792,0.0864099,218
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
