Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0210179,41265
2,0.066,0.0398934,36448
3,0.099,0.0567339,31631
4,0.132,0.0722983,27560
5,0.165,0.0871696,24113
6,0.198,0.101665,21146
7,0.231,0.115819,18518
8,0.264,0.128913,16175
9,0.297,0.141632,14104
10,0.33,0.154563,12275
11,0.363,0.166464,10643
12,0.396,0.179037,9190
13,0.429,0.190588,7886
14,0.462,0.202664,6730
15,0.495,0.213936,5711
16,0.528,0.224801,4822
17,0.561,0.236179,4029
18,0.594,0.24577,3321
19,0.627,0.253654,2677
20,0.66,0.264694,2094
21,0.693,0.274207,1578
22,0.726,0.283367,1116
23,0.759,0.290785,702
24,0.792,0.297261,332
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
