Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0202888,24147
2,0.066,0.0408967,21346
3,0.099,0.0599543,18545
4,0.132,0.0771424,16193
5,0.165,0.0940108,14203
6,0.198,0.110425,12493
7,0.231,0.126226,10989
8,0.264,0.141516,9653
9,0.297,0.156407,8474
10,0.33,0.171243,7428
11,0.363,0.186241,6486
12,0.396,0.200868,5654
13,0.429,0.215929,4895
14,0.462,0.230905,4229
15,0.495,0.244109,3622
16,0.528,0.253713,3070
17,0.561,0.262668,2585
18,0.594,0.271899,2142
19,0.627,0.281366,1739
20,0.66,0.290848,1373
21,0.693,0.300725,1033
22,0.726,0.308926,732
23,0.759,0.311815,464
24,0.792,0.325278,222
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
