Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0254391,46236
2,0.066,0.0466305,40217
3,0.099,0.0648986,34198
4,0.132,0.0817162,29240
5,0.165,0.0974584,25068
6,0.198,0.111704,21546
7,0.231,0.125734,18545
8,0.264,0.138411,15968
9,0.297,0.150736,13736
10,0.33,0.161689,11787
11,0.363,0.172215,10113
12,0.396,0.183525,8652
13,0.429,0.194494,7376
14,0.462,0.20688,6267
15,0.495,0.219151,5284
16,0.528,0.231898,4408
17,0.561,0.244023,3624
18,0.594,0.255953,2926
19,0.627,0.268689,2330
20,0.66,0.284639,1807
21,0.693,0.300901,1347
22,0.726,0.31989,949
23,0.759,0.340576,596
24,0.792,0.352375,278
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
