Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0202079,31289
2,0.066,0.0403517,27800
3,0.099,0.0591939,24311
4,0.132,0.076899,21356
5,0.165,0.0940186,18784
6,0.198,0.110488,16511
7,0.231,0.126567,14520
8,0.264,0.141954,12757
9,0.297,0.15661,11194
10,0.33,0.171545,9789
11,0.363,0.186605,8554
12,0.396,0.200446,7439
13,0.429,0.213071,6443
14,0.462,0.225017,5549
15,0.495,0.238618,4737
16,0.528,0.251864,4011
17,0.561,0.267035,3347
18,0.594,0.278806,2743
19,0.627,0.289581,2207
20,0.66,0.301229,1728
21,0.693,0.317357,1299
22,0.726,0.339045,912
23,0.759,0.353205,568
24,0.792,0.359427,262
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
