Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0150013,35364
2,0.066,0.0280794,31570
3,0.099,0.04003,27776
4,0.132,0.0510306,24565
5,0.165,0.0614127,21792
6,0.198,0.0717215,19362
7,0.231,0.081821,17220
8,0.264,0.0915551,15284
9,0.297,0.101223,13542
10,0.33,0.110857,11978
11,0.363,0.1208,10561
12,0.396,0.129887,9282
13,0.429,0.138714,8124
14,0.462,0.146433,7072
15,0.495,0.153614,6120
16,0.528,0.161547,5248
17,0.561,0.169384,4449
18,0.594,0.176596,3708
19,0.627,0.184988,3027
20,0.66,0.19043,2402
21,0.693,0.194139,1823
22,0.726,0.197569,1303
23,0.759,0.206362,829
24,0.792,0.215016,395
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
