Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0315708,50882
2,0.066,0.0581469,43808
3,0.099,0.0816481,36734
4,0.132,0.103534,30972
5,0.165,0.123456,26202
6,0.198,0.141982,22215
7,0.231,0.159334,18830
8,0.264,0.176055,15959
9,0.297,0.19169,13517
10,0.33,0.20572,11449
11,0.363,0.219081,9678
12,0.396,0.231756,8156
13,0.429,0.244574,6861
14,0.462,0.255496,5740
15,0.495,0.267449,4777
16,0.528,0.279025,3938
17,0.561,0.289133,3199
18,0.594,0.299323,2557
19,0.627,0.308209,1997
20,0.66,0.314008,1522
21,0.693,0.315955,1120
22,0.726,0.308382,773
23,0.759,0.288643,476
24,0.792,0.293997,219
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
