Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.00939357,39649
2,0.066,0.015897,35996
3,0.099,0.0210872,32343
4,0.132,0.02558,29228
5,0.165,0.0295126,26505
6,0.198,0.0330067,24068
7,0.231,0.0359422,21861
8,0.264,0.0387731,19828
9,0.297,0.0416416,17977
10,0.33,0.0444963,16273
11,0.363,0.0466075,14689
12,0.396,0.0487524,13212
13,0.429,0.0507345,11829
14,0.462,0.0524823,10513
15,0.495,0.0542002,9284
16,0.528,0.0555849,8134
17,0.561,0.0571604,7054
18,0.594,0.0582882,6022
19,0.627,0.0587445,5042
20,0.66,0.0595333,4109
21,0.693,0.0612146,3218
22,0.726,0.0625048,2361
23,0.759,0.0663885,1541
24,0.792,0.0684781,749
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
