Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0222179,26910
2,0.066,0.0432078,23604
3,0.099,0.0622167,20298
4,0.132,0.0803825,17582
5,0.165,0.0977746,15248
6,0.198,0.114826,13235
7,0.231,0.131639,11498
8,0.264,0.148184,9995
9,0.297,0.162658,8652
10,0.33,0.176349,7477
11,0.363,0.188996,6439
12,0.396,0.200949,5515
13,0.429,0.212531,4714
14,0.462,0.222962,3996
15,0.495,0.232733,3357
16,0.528,0.24301,2813
17,0.561,0.252802,2337
18,0.594,0.260753,1914
19,0.627,0.273063,1536
20,0.66,0.278819,1198
21,0.693,0.284211,892
22,0.726,0.28651,629
23,0.759,0.287066,397
24,0.792,0.285667,185
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
