Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0255165,40806
2,0.066,0.048895,35479
3,0.099,0.0695225,30152
4,0.132,0.0884667,25830
5,0.165,0.106422,22220
6,0.198,0.123135,19168
7,0.231,0.140205,16560
8,0.264,0.156882,14299
9,0.297,0.174079,12318
10,0.33,0.190575,10602
11,0.363,0.206378,9094
12,0.396,0.22089,7769
13,0.429,0.234308,6596
14,0.462,0.247197,5577
15,0.495,0.257659,4690
16,0.528,0.266582,3905
17,0.561,0.275188,3220
18,0.594,0.282363,2621
19,0.627,0.292288,2088
20,0.66,0.301237,1620
21,0.693,0.316759,1221
22,0.726,0.326263,862
23,0.759,0.335904,540
24,0.792,0.332544,255
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
