Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0262717,40753
2,0.066,0.0498672,35351
3,0.099,0.0714729,29949
4,0.132,0.0920432,25527
5,0.165,0.111388,21804
6,0.198,0.129915,18662
7,0.231,0.146164,15978
8,0.264,0.162361,13675
9,0.297,0.178288,11710
10,0.33,0.195075,10008
11,0.363,0.212782,8519
12,0.396,0.229276,7233
13,0.429,0.246039,6121
14,0.462,0.262729,5159
15,0.495,0.275299,4309
16,0.528,0.288458,3569
17,0.561,0.300946,2913
18,0.594,0.309818,2341
19,0.627,0.317152,1864
20,0.66,0.31745,1438
21,0.693,0.320873,1064
22,0.726,0.321021,741
23,0.759,0.328094,458
24,0.792,0.337981,216
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
