Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0250834,39801
2,0.066,0.0493671,34537
3,0.099,0.0717199,29273
4,0.132,0.0924275,24969
5,0.165,0.1123,21351
6,0.198,0.13157,18307
7,0.231,0.149968,15734
8,0.264,0.168071,13530
9,0.297,0.18585,11607
10,0.33,0.203176,9953
11,0.363,0.218652,8519
12,0.396,0.232196,7283
13,0.429,0.245719,6192
14,0.462,0.256868,5234
15,0.495,0.267278,4379
16,0.528,0.277958,3639
17,0.561,0.286215,2989
18,0.594,0.294149,2417
19,0.627,0.303906,1917
20,0.66,0.314947,1467
21,0.693,0.327012,1085
22,0.726,0.332794,759
23,0.759,0.34688,470
24,0.792,0.372466,222
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
