Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0201353,38560
2,0.066,0.037128,34090
3,0.099,0.051827,29620
4,0.132,0.0653824,25886
5,0.165,0.0776166,22717
6,0.198,0.0896065,19978
7,0.231,0.101487,17598
8,0.264,0.112783,15520
9,0.297,0.124098,13667
10,0.33,0.134951,12004
11,0.363,0.14546,10503
12,0.396,0.155689,9141
13,0.429,0.165266,7924
14,0.462,0.174405,6834
15,0.495,0.182204,5840
16,0.528,0.188908,4949
17,0.561,0.194373,4149
18,0.594,0.200576,3430
19,0.627,0.20583,2776
20,0.66,0.21192,2190
21,0.693,0.21712,1656
22,0.726,0.221162,1179
23,0.759,0.222849,747
24,0.792,0.228921,354
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
