Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0181158,53050
2,0.066,0.0336304,47033
3,0.099,0.0470237,41016
4,0.132,0.058756,36013
5,0.165,0.0699445,31716
6,0.198,0.0799277,27983
7,0.231,0.0894796,24701
8,0.264,0.0981596,21815
9,0.297,0.106165,19231
10,0.33,0.113725,16915
11,0.363,0.121808,14840
12,0.396,0.130316,12992
13,0.429,0.139066,11316
14,0.462,0.147767,9789
15,0.495,0.155931,8425
16,0.528,0.164396,7193
17,0.561,0.170748,6073
18,0.594,0.178372,5054
19,0.627,0.185018,4127
20,0.66,0.191746,3280
21,0.693,0.197201,2504
22,0.726,0.201623,1791
23,0.759,0.207762,1141
24,0.792,0.213863,549
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
