Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0189564,47173
2,0.066,0.03619,41904
3,0.099,0.0518047,36635
4,0.132,0.0662053,32218
5,0.165,0.0794792,28461
6,0.198,0.091965,25197
7,0.231,0.104071,22330
8,0.264,0.115806,19792
9,0.297,0.127223,17516
10,0.33,0.138089,15468
11,0.363,0.148926,13630
12,0.396,0.159799,11970
13,0.429,0.170702,10472
14,0.462,0.181627,9100
15,0.495,0.193158,7868
16,0.528,0.204472,6731
17,0.561,0.216748,5685
18,0.594,0.227872,4734
19,0.627,0.237838,3856
20,0.66,0.250458,3054
21,0.693,0.262771,2335
22,0.726,0.274056,1662
23,0.759,0.279419,1048
24,0.792,0.285831,501
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
