Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.023483,22101
2,0.066,0.0457518,19334
3,0.099,0.0657409,16567
4,0.132,0.0845559,14338
5,0.165,0.101727,12454
6,0.198,0.117606,10823
7,0.231,0.13343,9430
8,0.264,0.148413,8204
9,0.297,0.162864,7131
10,0.33,0.178388,6182
11,0.363,0.191951,5340
12,0.396,0.203744,4595
13,0.429,0.214063,3954
14,0.462,0.22307,3368
15,0.495,0.23468,2858
16,0.528,0.243144,2392
17,0.561,0.249998,1984
18,0.594,0.259003,1616
19,0.627,0.267991,1293
20,0.66,0.278975,1006
21,0.693,0.289309,753
22,0.726,0.290204,526
23,0.759,0.29675,333
24,0.792,0.303481,155
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
