Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0110533,44331
2,0.066,0.018263,40000
3,0.099,0.0239361,35669
4,0.132,0.0288123,32015
5,0.165,0.0328672,28877
6,0.198,0.0362198,26108
7,0.231,0.0394172,23637
8,0.264,0.0425083,21380
9,0.297,0.0450166,19298
10,0.33,0.0472151,17370
11,0.363,0.0492814,15587
12,0.396,0.0514008,13940
13,0.429,0.0534225,12421
14,0.462,0.0549623,11008
15,0.495,0.0567044,9698
16,0.528,0.0577463,8470
17,0.561,0.0584466,7301
18,0.594,0.0586747,6209
19,0.627,0.0589014,5170
20,0.66,0.0589038,4185
21,0.693,0.0589474,3253
22,0.726,0.0602504,2378
23,0.759,0.0625925,1551
24,0.792,0.0640955,760
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
