Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.026218,37805
2,0.066,0.0490947,32816
3,0.099,0.0696648,27827
4,0.132,0.0882967,23747
5,0.165,0.105679,20305
6,0.198,0.12244,17388
7,0.231,0.137799,14906
8,0.264,0.151802,12759
9,0.297,0.165378,10903
10,0.33,0.177782,9295
11,0.363,0.190545,7897
12,0.396,0.201385,6683
13,0.429,0.211629,5642
14,0.462,0.220787,4722
15,0.495,0.228449,3932
16,0.528,0.235595,3257
17,0.561,0.242455,2669
18,0.594,0.248178,2151
19,0.627,0.254886,1708
20,0.66,0.257632,1318
21,0.693,0.256156,979
22,0.726,0.256139,683
23,0.759,0.26443,421
24,0.792,0.265274,198
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
