Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0124666,37257
2,0.066,0.0209035,33547
3,0.099,0.0268994,29837
4,0.132,0.0316953,26730
5,0.165,0.0359425,24050
6,0.198,0.0395753,21668
7,0.231,0.0429857,19540
8,0.264,0.0460131,17619
9,0.297,0.0486482,15896
10,0.33,0.0507872,14313
11,0.363,0.0529911,12836
12,0.396,0.0550342,11474
13,0.429,0.0567462,10213
14,0.462,0.0581869,9036
15,0.495,0.0589636,7924
16,0.528,0.0602394,6894
17,0.561,0.0613275,5945
18,0.594,0.0626366,5054
19,0.627,0.0644761,4213
20,0.66,0.065662,3416
21,0.693,0.0664393,2659
22,0.726,0.0674518,1939
23,0.759,0.0678056,1252
24,0.792,0.0667741,607
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
